Profession,entreprise,lieux,description  
Vendeurs H/F de marque coffrets cadeaux,TechSell,Olonne-sur-Mer (85),Dynamique, souriant(e) et persévérant(e), votre aisance relationnelle fait de vous une personne dotée d'un tempérament vendeur et énergique.... 
Caissier ELS (h/f) - CDD - 30h - 85180 Château d'Olonne (Ven...,Lidl France,Château-d'Olonne (85),Des opportunités d’évolution vers les postes de Chef Caissier, Adjoint Manager, Responsable de Magasin ou d’autres postes en Direction Régionale,.... 
Equipier polyvalent (h/f) - CDD - 30h - 85150 Les Achards (V...,Lidl France,Les Achards (85),Des opportunités d’évolution vers les postes de Chef Caissier, Adjoint Manager, Responsable de Magasin ou d’autres postes en Direction Régionale,.... 
Responsable de magasin,Cuisinella,Challans (85),Disponible et énergique, vous créez une ambiance de travail battante et conviviale… une dream team qui affiche une réussite insolente !... 
Vendeurs (h/f) - CDI 25h - La Roche sur Yon,H&M,La Roche-sur-Yon (85),Travailler de manière active sur la bonne tenue des rayons – réassort, rangement, pliage, cintrage et visuel. Trouve ta place dans un environnement dynamique et... 
Vendeur Polyvalent (h/f),Maisons du Monde,La Roche-sur-Yon (85),Participation aux livraisons, mise en place des produits sur la surface de vente, réassort et respect des règles merchandising de l’enseigne.... 
contrat étudiant conseiller(e) de vente,KIABI,La Roche-sur-Yon (85),Tu es riche d’une expérience client, en Prêt à porter c’est encore mieux ! La Mode est ta passion, tu connais les dernières tendances !... 
HOTE DE CAISSE CONSEILLER DE VENTE POLYVALENT H/F,JARDI LISA,Moutiers-les-Mauxfaits (85),Etre dynamique, disponible et avoir l’esprit d’équipe. Réaliser les opérations d'encaissement et assurer une « caisse juste ».... 
Vendeuse en lingerie féminine,lingerie,Challans (85),Vendeuse en lingerie féminine ou similaire:. Je recherche une vendeuse en lingerie ou ayant déjà travaillé dans le prêt à porter.... 
Vendeuse,L'Entrepot des Marques,Saint-Hilaire-de-Riez (85),Vous serez en charge d'accueillir les clients , de la mise en rayon , de l'encaissement, de l'entretien du magasin....... 
VENDEUR TEMPS PARTIEL ETUDIANT F/H,Fnac,La Roche-sur-Yon (85),Qualité de l'exposition, lisibilité et clarté de présentation conformément à notre politique merchandising.... 
Vendeuse prêt à porter,Espace des marques.com,La Roche-sur-Yon (85),Vous souhaitez intégrer une société en plein développement et être un acteur de cette évolution. Nous recherchons pour la saison 2019 (juillet / aôut) sur notre... 
VENDEUR OU VENDEUSE EN SURGELES,ARTIKA,Les Essarts (85),Filiale d’un grand groupe alimentaire français et forte de ses 42 années d’expériences dans la vente de produits surgelés aux particuliers, la société ARTIKA... 
Vendeur/Vendeuse,Les Viviers de la Guittière,Talmont-Saint-Hilaire (85),Préparation et mise en place du bar à huîtres (couverts, verre, serviette, pain, vin, beurre, citron…). Effectuer la mise en rayon et la rotation des produits,.... 
Equipier polyvalent (h/f) - 30h - 85110 Chantonnay (Vendée),Lidl France,Chantonnay (85),Des opportunités d’évolution vers les postes de Chef Caissier, Adjoint Manager, Responsable de Magasin ou d’autres postes en Direction Régionale,.... 
